time_points,vac_inf,unvac_inf,vac2vac_exp,vac2unv_exp,unv2vac_exp,unv2unv_exp,vac2vac_inf,vac2unv_inf,unv2vac_inf,unv2unv_inf,inf_exp,rec_exp
1,0,704,0,0,45,2702,0,0,0,204,19,0
2,0,1004,0,0,109,3710,0,0,0,300,31,0
3,0,1426,0,0,240,5324,0,0,0,422,84,0
4,0,2035,0,0,474,7268,0,0,0,609,149,0
5,3,2839,0,9,833,10141,0,1,3,803,300,0
6,6,2947,0,18,1008,10365,0,2,3,810,370,44
7,14,3646,3,47,1419,12606,0,3,8,996,496,132
8,23,4318,11,75,1961,14733,0,3,9,1091,725,207
9,34,4942,11,95,2610,16242,0,4,11,1229,1027,361
10,50,5462,19,133,3210,17383,0,18,19,1306,1245,567
11,60,6133,34,195,3862,19120,0,15,13,1468,1554,929
12,74,6676,51,225,4593,19884,0,21,22,1521,1901,1262
13,118,7159,69,279,5330,20840,0,24,53,1553,2273,1654
14,147,7652,112,373,6147,21206,0,41,40,1685,2650,2226
15,191,8090,144,481,7034,21456,2,41,61,1721,2897,2798
16,254,8305,230,609,7727,21119,1,41,75,1657,3187,3549
17,302,8425,265,765,8365,20434,5,43,65,1619,3296,4258
18,341,8491,348,759,8900,19654,1,54,91,1589,3526,4763
19,409,8326,415,866,9177,18220,7,61,101,1500,3380,5523
20,455,7896,556,889,9221,16777,6,52,103,1280,3210,6006
21,516,7396,591,981,8962,14768,16,84,121,1114,2943,6315
22,557,6838,706,1033,8818,13053,10,98,101,1006,2585,6435
23,570,6148,753,986,8375,11036,9,72,96,881,2146,6481
24,592,5405,793,966,7659,9261,10,76,120,742,1771,6227
25,603,4772,840,1003,6979,7730,16,70,104,629,1409,6000
26,566,4107,856,871,6289,6472,14,54,86,479,1029,5585
27,576,3505,890,824,5465,5155,11,70,110,432,786,5017
28,575,2919,908,753,4757,4146,16,58,88,309,604,4566
29,521,2432,877,672,4126,3209,16,57,60,274,445,3919
30,491,1962,889,561,3412,2500,26,54,64,175,302,3427
31,467,1625,824,582,2802,2092,17,39,59,157,186,3047
32,397,1266,705,505,2230,1632,13,33,38,110,133,2411
33,344,1038,581,459,1804,1259,4,29,47,110,101,2021
34,306,801,513,394,1388,993,18,34,20,60,63,1707
35,259,649,415,329,1125,827,9,14,34,63,46,1388
36,215,522,384,267,887,573,10,16,22,53,33,1195
37,201,443,311,258,733,563,9,25,28,39,23,971
38,179,357,312,213,643,407,10,15,19,38,12,806
39,168,306,306,191,516,348,13,19,14,24,12,762
40,145,270,264,182,468,331,4,12,16,29,9,620
41,135,228,212,161,382,263,7,8,15,19,4,589
42,114,196,190,142,328,255,7,17,9,15,6,461
43,101,175,161,133,289,208,4,7,12,25,2,404
44,90,161,146,112,261,191,7,5,9,24,0,400
45,85,139,137,107,237,181,6,8,9,11,4,335
46,85,129,136,86,231,168,7,8,15,9,2,298
